mode,slice,value,n,hit1,hit3,hit5,avg_input_tokens,avg_latency_ms
lancedb_full,lag,long,30019,0.08980378485528,0.15923368249951575,0.19875435953433154,9002.555957473269,0.24
lancedb_full,lag,mid,41814,0.328495370480949,0.46444350096607784,0.5274019802142094,8993.593833381938,0.24
lancedb_full,lag,short,48167,0.9157920892537776,0.9643224248605128,0.9759074927217112,9005.595358345086,0.24
memory_md,lag,long,30019,0.5316772631655848,0.5550078864834457,0.5689680901892301,9005.558019270298,0.12
memory_md,lag,mid,41814,0.6127134656315167,0.6627573752684004,0.687320921238826,8997.540077114947,0.12
memory_md,lag,short,48167,0.8793257890583738,0.9217826338114299,0.9357570044796015,9007.423356569296,0.12
memq_hybrid,lag,long,30019,0.08980378485528,0.15923368249951575,0.19875435953433154,120.0,0.21
memq_hybrid,lag,mid,41814,0.328495370480949,0.46444350096607784,0.5274019802142094,120.0,0.21
memq_hybrid,lag,short,48167,0.9157920892537776,0.9643224248605128,0.9759074927217112,120.0,0.21
