mode,turns,avg_input_tokens,p95_input_tokens,avg_latency_ms,p95_latency_ms,deep_call_rate,surface_hit_rate,hit_at_1,hit_at_3,hit_at_5,context_efficiency,seed
memory_md,6000,9912.355166666666,10522,0.11229553663482268,0.19895797595381737,0.0,0.0,0.45416666666666666,0.45466666666666666,0.455,0.04590231003123022,0
lancedb,6000,9368.3805,10408,0.2344362468769153,0.3005419857800007,1.0,0.0,0.8145,0.8751666666666666,0.8946666666666667,0.09549854072074324,0
memq_surface,6000,0,0,0.00014165804410974184,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,0
memq_deep,6000,120,120,0.23643405199982226,0.3039590083062649,1.0,0.0,0.8136666666666666,0.8741666666666666,0.8936666666666667,7.447222222222223,0
memq_hybrid,6000,120,120,0.22557927070495984,0.3222501836717129,0.8505,0.1495,0.8136666666666666,0.8741666666666666,0.8936666666666667,7.447222222222223,0
memory_md,6000,9105.163833333334,9469,0.10947379260323942,0.19070832058787346,0.0,0.0,0.44733333333333336,0.44783333333333336,0.4483333333333333,0.04923945812946473,1
lancedb,6000,9378.266,10430,0.23497469319651523,0.29795803129673004,1.0,0.0,0.8158333333333333,0.8716666666666667,0.8906666666666667,0.0949713589555539,1
memq_surface,6000,0,0,0.00015437090769410133,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,1
memq_deep,6000,120,120,0.2350583119162669,0.2991659566760063,1.0,0.0,0.816,0.8701666666666666,0.8906666666666667,7.4222222222222225,1
memq_hybrid,6000,120,120,0.22760777493628362,0.3215828910470009,0.857,0.143,0.816,0.8701666666666666,0.8906666666666667,7.4222222222222225,1
memory_md,6000,9725.248166666666,10582,0.11378444661386311,0.2004159614443779,0.0,0.0,0.4558333333333333,0.4563333333333333,0.4573333333333333,0.04702536382576287,2
lancedb,6000,9393.319333333333,10472,0.2359098185940335,0.3010830841958523,1.0,0.0,0.8066666666666666,0.865,0.8866666666666667,0.0943933273427874,2
memq_surface,6000,0,0,0.0001473715528845787,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,2
memq_deep,6000,120,120,0.23969281883910298,0.30295783653855324,1.0,0.0,0.8063333333333333,0.8655,0.8858333333333334,7.381944444444445,2
memq_hybrid,6000,120,120,0.22634243328745166,0.32345904037356377,0.8505,0.1495,0.8063333333333333,0.8655,0.8858333333333334,7.381944444444445,2
memory_md,6000,10042.229333333333,11198,0.11314879722582798,0.20195823162794113,0.0,0.0,0.448,0.44916666666666666,0.45016666666666666,0.04482736369825983,3
lancedb,6000,9352.633333333333,10404,0.23759611564067504,0.30233291909098625,1.0,0.0,0.8158333333333333,0.8741666666666666,0.8961666666666667,0.09581971565940431,3
memq_surface,6000,0,0,0.00014403113164007664,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,3
memq_deep,6000,120,120,0.23225375645173094,0.29574986547231674,1.0,0.0,0.814,0.8726666666666667,0.8951666666666667,7.459722222222222,3
memq_hybrid,6000,120,120,0.22443487176982066,0.3199591301381588,0.8471666666666666,0.15283333333333332,0.814,0.8726666666666667,0.8951666666666667,7.459722222222222,3
memory_md,6000,9754.323,10435,0.11330250332442422,0.20124996080994606,0.0,0.0,0.4493333333333333,0.44966666666666666,0.44966666666666666,0.04609921843542259,4
lancedb,6000,9386.5325,10446,0.2348478191997856,0.2970411442220211,1.0,0.0,0.8126666666666666,0.8721666666666666,0.8925,0.09508303518897954,4
memq_surface,6000,0,0,0.00014273131576677164,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,4
memq_deep,6000,120,120,0.2374579416743169,0.3020833246409893,1.0,0.0,0.8116666666666666,0.8728333333333333,0.8908333333333334,7.423611111111112,4
memq_hybrid,6000,120,120,0.22947888573010763,0.326541718095541,0.8628333333333333,0.13716666666666666,0.8116666666666666,0.8728333333333333,0.8908333333333334,7.423611111111112,4
